query_label	positive_label	negatives_label
Hardware	Food, Beverages & Tobacco	['Gutters', 'Household Paper Products', 'Recorder Cases', 'Apples', 'Kiwis', 'Bicycle Saddle Pads & Seat Covers', 'Model Making', 'Baby & Pet Gate Accessories', 'Craft Organization', 'Vehicle Pet Barriers']
Furniture	Hardware	"['Bottle Openers', 'Flatware Chests', 'Studio Stand & Mount Accessories', 'Telephone Accessories', 'Equestrian Gloves', 'Pet Eye Drops & Lubricants', 'Collectible Trading Cards', 'Water Skis', 'Motorcycles & Scooters', ""Chef's Jackets""]"
Health & Beauty	Furniture	['Watercraft Storage Racks', 'Solar Panels', 'Bassoon Bocals', 'Bicycle Shifters', 'Vehicle Decor Accessory Sets', 'Crêpe & Blini Pans', 'Pen Ink & Refills', 'Desk Parts & Accessories', 'Baby & Toddler Hats', 'Brandy']
Hardware	Health & Beauty	['Hair Curlers', 'Unflavored Gelatin', 'pH Meters', 'Dolls', 'Erotic DVDs & Videos', 'Bicycle Cranks', 'Shelf-stable Cocktail Mixes', 'Horse Blankets & Sheets', 'Hunting Dog Equipment', 'Bathroom Suites']
Home & Garden	Hardware	['Household Paper Products', 'Chocolate Tempering Machines', 'Bass Drums', 'Train Cases', 'Tablet Computer Screens & Screen Digitizers', 'Desk Pads & Blotters', 'Cabinet Backplates', 'Crafting Canvas', 'Scroll Saws', 'Camera Batteries']
Health & Beauty	Home & Garden	['Aircraft', 'Greens', 'Spotting Scope Accessories', 'Arrows & Bolts', 'Tablet Computer Replacement Speakers', 'Watch Stickers & Decals', 'Bicycle Cleat Accessories', 'Pretzels', 'Hair Loss Treatments', 'Batting & Stuffing']
Luggage & Bags	Health & Beauty	['Laboratory Hot Plates', 'Pie & Quiche Pans', 'Ventilation Fans', 'Billiard Cue Racks', 'Robotic Toys', 'Yarn', 'Zippers', 'Diving & Snorkeling Masks', 'Erotic Magazines', 'Water Heater Expansion Tanks']
Luggage & Bags	Home & Garden	['Accelerometers', 'Nail Buffers', 'Landscape Pathway Lighting', 'Electronic Card Readers', 'Kitchen Utensil Holders & Racks', 'Bicycle Accessories', 'Saunas', 'Laminators', 'Canopy & Gazebo Accessories', 'Masonry Consumables']
Mature	Home & Garden	['MSG', 'Trunks', 'Straight Pins', 'Golf Ball Markers', 'Aquarium Fish Nets', 'Pretzel Makers', 'Baptism & Communion Dresses', 'False Eyelash Remover', 'Musical Instrument & Orchestra Accessories', 'Artificial Food']
Luggage & Bags	Mature	['Highlighters & Luminizers', 'Forestry & Logging', 'Relish & Chutney', 'Mounting Putty', 'Neckties', 'Ladder Carts', 'ATV & UTV Bar Pads', 'Skate Blade Guards', 'Business & Productivity Software', 'Pruning Saws']
Media	Luggage & Bags	['Laptop Screen Digitizers', 'Wagons', 'Electric & Stovetop Espresso Pots', 'Vehicle Steering Wheel Covers', 'Jigsaw Accessories', 'Softball Uniforms', 'Bicycle Headset Bearings', 'Keyboard Keys & Caps', 'Shoe Bags', 'Pet Playpens']
Media	Mature	['Wicks', 'Magazine Racks', 'Oboe Cases & Gigbags', 'Hockey Pants', 'Sponges & Scouring Pads', 'Oboe Straps & Supports', 'Electronic Dictionaries & Translators', 'Basketball Autographed Paraphernalia', 'Skateboard Small Parts', 'Bird & Wildlife House Accessories']
Mature	Office Supplies	['Yoga & Pilates', 'Cat Toys', 'Garter Belts', 'Drum Keys', 'Agriculture', 'Cookware Sets', 'Hunting Clothing', 'Body Weight Scales', 'Fiber Cards & Brushes', 'Integrated Circuits & Chips']
Media	Office Supplies	['Horse & Livestock Trailers', 'Motor Vehicle A/V Players & In-Dash Systems', 'Video Accessories', 'Riding Toys', 'Roller Skate Parts', 'Fingerboards & Fingerboard Sets', 'Grinder Accessories', 'Pressure Cooker & Canner Accessories', 'CD/DVD Duplicators', 'Easter Egg Decorating Kits']
Media	Religious & Ceremonial	['Skate Helmets', 'Gravy', 'Curtains & Drapes', 'Ground & Leaf Blower Attachments', 'Brass Instrument Mutes', 'Masonry Tools', 'Nursing Pillow Covers', 'Fresh Cut Flowers', 'Brass Knuckles', 'Camera Stabilizers & Supports']
Religious & Ceremonial	Office Supplies	['Cuticle Cream & Oil', 'Cat Treats', 'Oboe Reeds', 'Shorts', 'Snow Shovels', 'Nunchucks', 'Sword Stands & Displays', 'Ceiling Light Fixtures', 'Couscous', 'E-Book Reader Batteries']
Software	Office Supplies	['Salad Mixes', 'Generators', 'Riding Pants', 'Cooking & Baking Ingredients', 'Dry-Erase Boards', 'Mobile Phone Replacement Parts', 'Cupcakes', 'Cuticle Pushers', 'Transcribers & Dictation Systems', 'Vehicle Steering Wheel Locks']
Software	Religious & Ceremonial	['Child Swimming Aids', 'Rangefinder Accessories', 'Clock Parts', 'Food Wraps', 'Award Pins & Medals', 'Waste Container Enclosures', 'Printer, Copier & Fax Machine Replacement Parts', 'Waste Container Labels & Signs', 'Golf', 'Dental Mouthguards']
Religious & Ceremonial	Sporting Goods	['Baseball & Softball Batting Gloves', 'Footbags', 'Household Storage Bags', 'Hydration System Accessories', 'Bicycle Cages', 'Off-Road & All-Terrain Vehicle Protective Gear', 'Lawn Ornaments & Garden Sculptures', 'Cruising Rods', 'Gait Belts', 'Watercraft Ignition Parts']
Software	Sporting Goods	['Inner Tents', 'Toy Kitchens & Play Food', 'Chainsaw Bars', 'Household Cleaning Supplies', 'Seeds', 'Trampoline Accessories', 'Garage Door Keypads & Remotes', 'Hard Drive Duplicators', 'Electronics Films & Shields', 'Skin Insect Repellent']
Toys & Games	Software	['Field Hockey & Lacrosse Gloves', 'Mattress Encasements', 'Bird Gyms & Playstands', 'Scoops', 'Special Effects Controllers', 'Scarves & Shawls', 'Wok Brushes', 'Plumbing Primer', 'Play Mats', 'Compressors']
Toys & Games	Sporting Goods	['Diving Knives & Shears', 'Pet Glucose Meters', 'Racquetball & Squash', 'Bedroom Furniture Sets', 'Can Organizers', 'Nursing & Feeding', 'Wildlife Bait, Feed & Minerals', '3D Printers', 'Artificial Flora', 'Plumbing Wastes']
Vehicles & Parts	Sporting Goods	['Bathroom Vanities', 'Martial Arts Shorts', 'Baby & Toddler Sleepwear', 'Multifunction Outdoor Power Equipment Attachments', 'Patio Heater Accessories', 'Christmas Tree Stands', 'PDA Batteries', 'Body Weight Scales', 'Team Handball', 'Musical Blocks']
Toys & Games	Vehicles & Parts	['Telescopes', 'Road & Traffic Signs', 'Guitar Tuning Pegs', 'Blocking Mats', 'Video Transmitters', 'Vehicle Gun Racks', 'Wireless Transmitters', 'Cover Scents & Scent Attractants', 'Baby & Toddler Outerwear', 'Meat Alternatives']
Live Animals	Pet Supplies	['Hard Drive Circuit Boards', 'Leaf Blowers', 'Power Tool Combo Sets', 'Deck & Fence Cleaners', 'Facial Tissues', 'Ocarinas', 'Lemon & Lime Juice', 'Sugar Dispensers', 'Pressure Cookers & Canners', 'Facial Cleansers']
Pet Supplies	Live Animals	['Stylus Pen Nibs & Refills', 'Wetsuit Pieces', 'Balloon Kits', 'Posters, Prints, & Visual Artwork', 'Ice Crushers & Shavers', 'Water Distillers', 'Pianos', 'Clarinet Accessories', 'Baking Peels', 'Laminators']
Pet Supplies	Live Animals	['Watering Globes & Spikes', 'Chaps', 'Vehicle Tire Repair & Tire Changing Tools', 'Snow Blowers', 'Satay Sauce', 'Vehicle Shift Knobs', 'Riding Toys', 'Medical Cabinets', 'Nutritional Food Purées', 'Clarinet Reeds']
Live Animals	Pet Supplies	['Wall Clocks', 'American Football Goal Posts', 'Sunloungers', 'Utility Knives', 'Hatches', 'Hockey Balls & Pucks', 'Writing & Drawing Instruments', 'Decorative Nutcrackers', 'Doors', 'Kitchen Utensil Sets']
Clothing Accessories	Clothing	['Track Lighting', 'Facial Tissue Holders', 'Erotic Clothing', 'Clubs & Batons', 'Pens', 'Push Up & Pull Up Bars', 'Cookware & Bakeware', 'Camera Batteries', 'Tripod & Monopod Accessories', 'Salad Toppings']
Costumes & Accessories	Clothing	['Cable Management', 'Protective Coatings & Sealants', 'Laundry Combo Units', 'Cooking & Baking Ingredients', 'Camera & Optic Replacement Cables', 'Mechanical Looms', 'Gun Cleaning Cloths & Swabs', 'Speaker Stand Bags', 'Surfing Tail Pads', 'Baby Strollers']
Shoe Accessories	Clothing	['Place Card Holders', 'Foam Roller Accessories', 'Broiling Pans', 'Art Ink', 'Mattock & Pickaxe Accessories', 'Inline Skate Parts', 'GPS Tracking Devices', 'Industrial Storage Accessories', 'Computer Backplates & I/O Shields', 'Twine']
Clothing	Shoes	['Grips', 'Vehicle Seat Belt Covers', 'Horseradish Sauce', 'Motorcycle Goggles', 'Tempeh', 'Baby Formula', 'Crafting Canvas', 'Scanner Accessories', 'Greens', 'Tennis Racquet Grommets']
Clothing Accessories	Costumes & Accessories	['Drills', 'Pest Control Traps', 'Billiard Cue Racks', 'Video Memory', 'Manual Massage Tools', 'Memory Card Readers', 'Spermicides', 'Bicycle Foot Pegs', 'Lighting', 'Paintball & Airsoft Gloves']
Clothing Accessories	Handbag & Wallet Accessories	['Sports Mouthguards', 'Spectrometers', 'Marine Radios', 'Smoking Chips & Pellets', 'Baseball & Softball', 'Kite Buggying', 'Casserole Dishes', 'Computer Utilities & Maintenance Software', 'Ironing Centers', 'Paintball']
Clothing Accessories	Shoes	['Grease Guns', 'Neon Signs', 'Apparel & Accessories', 'Bananas', 'Food Storage Accessories', 'Airsoft Guns', 'Felting Pads & Mats', 'Fireplace Tools', 'Gates', 'Tom-Toms']
Costumes & Accessories	Handbag & Wallet Accessories	['Diaper Bags', 'Skiing & Snowboarding', 'Feminine Douches & Creams', 'Humidistats', 'Holiday Ornament Hooks', 'Makeup Finishing Sprays', 'Billiard Cue Cases', 'Alcoholic Beverages', 'Burp Cloths', 'Poker Chip Carriers & Trays']
Handbags, Wallets & Cases	Costumes & Accessories	['Elliptical Trainers', 'Wheelchairs', 'Composters', 'Soy Sauce', 'Outdoor Sectional Sofa Units', 'Fruit Snacks', 'Blood Glucose Control Solution', 'Softballs', 'Horse Tack', 'Piercing Supplies']
Handbag & Wallet Accessories	Handbags, Wallets & Cases	['Guavas', 'Business & Home Security', 'Digital Goods & Currency', 'Shower Columns', 'Cat Toys', 'Wine Bottle Holders', 'Fishing Tackle', 'Recorders', 'Sleeping Bags', 'Kitchen Utensil Sets']
Jewelry	Handbag & Wallet Accessories	['Face Powder', 'Shoe Treatments & Dyes', 'Wine Carrier Bags', 'Nursing Pillows', 'Mobile Phone Replacement Parts', 'Saucepans', 'Saw Accessories', 'Portable Cooking Stoves', 'Clarinet Reeds', 'Hiking Poles']
Handbags, Wallets & Cases	Jewelry	['Denture Cleaners', 'Accent Tables', 'Mobile Phone Accessories', 'Trade Show Displays', 'Projectors', 'Wedding Ceremony Supplies', 'Log Splitters', 'Drug Tests', 'Intercom Accessories', 'Vehicle Hardtops']
Shoe Accessories	Handbags, Wallets & Cases	['Drill Presses', 'Medical Masks', 'Interfacing', 'Computer Processors', 'Heat Guns', 'Pastels', 'Dog Beds', 'Lawn Mower Mulch Kits', 'Foot Files', 'Hot Water Tanks']
Jewelry	Shoe Accessories	['Kayaks', 'Motor Vehicle Tires', 'Scrubs', 'Oboe Small Parts', 'Office Furniture Accessories', 'Hot Dog Rollers', 'Stock Pots', 'Watercraft Lighting', 'Espresso Machines', 'Art & Crafting Tools']
Jewelry	Shoes	['Medical', 'Toy Abacuses', 'Bicycle Trailers', 'Stylus Pen Nibs & Refills', 'Game Racing Wheels', 'Fountains & Waterfalls', 'Textile Craft Machines', 'Cutting Mats', 'UPS Batteries', 'Auto Racing Autographed Paraphernalia']
Shoes	Shoe Accessories	['Cat Litter Box Mats', 'Scopes', 'Audio & Video Cables', 'Conveyors', 'Baking Soda', 'Printer, Copier & Fax Machine Accessories', 'Tea Makers', 'Basters', 'Hardware Fasteners', 'Recorders']
Hobbies & Creative Arts	Event Tickets	['Track Lighting Accessories', 'Massage Chairs', 'Breast Milk Storage Containers', 'Window Blinds & Shades', 'Table Skirts', 'Thermoses', 'Projection Screen Stands', 'Garbage Disposal Accessories', 'Playground Balls', 'Waxing Kits & Supplies']
Hobbies & Creative Arts	Event Tickets	['Video Multiplexers', 'Soccer Corner Flags', 'Apples', 'Wine Racks', 'Audio Accessories', 'Gun Cleaning Solvents', 'Fertilizers', 'Vehicle Waxes, Polishes & Protectants', 'Paper Towel Holders & Dispensers', 'Eye Makeup']
Party & Celebration	Event Tickets	['Field Hockey Balls', 'Pallets & Loading Platforms', 'Boxing Gloves & Mitts', 'Mining & Quarrying', 'Alphabet Toys', 'Foundations & Concealers', 'Sauna Buckets & Ladles', 'Bow & Crossbow Accessories', 'Shirts & Tops', 'Airbrushes']
Party & Celebration	Event Tickets	['Coffee Makers & Espresso Machines', 'Lens Hoods', 'Balaclavas', 'Badminton', 'Vehicle License Plate Mounts & Holders', 'Hammocks', 'Post Base Plates', 'Potatoes', 'Thin & Zero Clients', 'Screen Protectors']
Hobbies & Creative Arts	Party & Celebration	['Retail Display Cases', 'Rolling Pin Covers & Sleeves', 'Boat Ladders', 'Scrub Brushes', 'Dry-Erase Boards', 'Airsoft Gun Parts & Accessories', 'Dutch Ovens', 'Portable Game Console Accessories', 'Hair Claws & Clips', 'Vehicle Steering Wheel Locks']
Hobbies & Creative Arts	Party & Celebration	['Cable Management', 'Cable Trays', 'Condiments & Sauces', 'Vehicle Antifreeze', 'Lawn Mower Tires', 'Interlocking Blocks', 'Poker Chip Carriers & Trays', 'Flour Sifters', 'Bicycle Tire Valves', 'Twine']
Baby Bathing	Baby Gift Sets	['Bicycle Trailers', 'Livestock Halters', 'Screws', 'Microscope Cameras', 'Greeting Card Organizers', 'Hand Muffs', 'Saws', 'Cinches', 'Motor Vehicle Carrying Rack Accessories', 'Graduated Cylinders']
Baby Bathing	Baby Health	['Food Service Carts', 'Tractors', 'Ice Cream Cones', 'Climbing Chalk Bags', 'American Football Uniforms', 'Fishing Reel Replacement Spools', 'Vehicle Steering Wheel Covers', 'Tent Vestibules', 'Table Saws', 'Piercing Supplies']
Baby Bathing	Potty Training	['Billiard Table Covers', 'Cabinet & Furniture Keyhole Escutcheons', 'Breads & Buns', 'Smoke Detectors', 'Tennis', 'Whisks', 'Quivers', 'Craft Knives', 'Mirrors', 'E-Book Reader Batteries']
Swaddling & Receiving Blankets	Baby Bathing	['Candle Holders', 'Vehicle Paint', 'Well Pumps & Systems', 'Pizza Makers & Ovens', 'Bookends', 'Landscape Fabric', 'Walking Aid Accessories', 'Pressure Washer Accessories', 'Air & Filter Dryers', 'Bath & Body Gift Sets']
Baby Health	Baby Gift Sets	['Presentation Supplies', 'Flute Pegs & Stands', 'Chainsaw Bars', 'American Football Protective Gear', 'Microphone Accessories', 'Socket Drivers', 'Upright Basses', 'Fiber Cards & Brushes', 'Saxophone Ligatures & Caps', 'Roller Skis']
Baby Safety	Baby Gift Sets	['Fencing & Barriers', 'Audio & Video Receiver Accessories', 'FM Transmitters', 'Snow Blowers', 'Wall Paneling', 'Hiking Pole Accessories', 'Crafting Canvas', 'Skateboard Parts', 'Zero Client Computers', 'Eyewear Accessories']
Baby Gift Sets	Swaddling & Receiving Blankets	['Drywall', 'Smoking Chips & Pellets', 'Craft Dyes', 'Mailbox Covers', 'Easels', 'Snow Shovels', 'Electric Guitar Pickups', 'Kitchen Tools & Utensils', 'Lighters & Matches', 'Gift Giving']
Baby Safety	Baby Health	['Wrenches', 'Integrated Circuits & Chips', 'Cat Litter Box Liners', 'Fabric Softeners & Dryer Sheets', 'Tennis Autographed Sports Paraphernalia', 'Vehicle Parts & Accessories', 'Jewelry Steam Cleaners', 'Speakers', 'Bicycle Groupsets', 'One-Pieces']
Baby Toys & Activity Equipment	Baby Health	['Call Bells', 'Shower Heads', 'MMA Shin Guards', 'Deli Slicers', 'Nail Files & Emery Boards', 'Emergency Blankets', 'Moisture Meters', 'Obi Accessories', 'Toy Jacks', 'Bench Scrapers']
Baby Toys & Activity Equipment	Baby Safety	['Humidor Accessories', 'Decorative Plaques', 'Dartboards', 'Light Ropes & Strings', 'Direct Boxes', 'Boxing Ring Parts', 'Golf Bags', 'Photographic Chemicals', 'Pipe Caps & Plugs', 'Charcoal Briquettes']
Baby Transport	Baby Safety	['Trash Compactor Accessories', 'Chair & Sofa Cushions', 'Antenna Rotators', 'Bowls', 'Cricket Gloves', 'Power Over Ethernet Adapters', 'Lip Makeup', 'Tennis Racquet Bags', 'Portable Game Console Accessories', 'Altitude Training Masks']
Baby Toys & Activity Equipment	Baby Transport	['Food Peelers & Corers', 'Bathtub Skirts', 'Mobility Scooters', 'Hardware Torches', 'Swim Gloves', 'American Football Face Masks', 'Underwear & Socks', 'Finger & Hand Cymbals', 'Sustain Pedals', 'Folding Chairs & Stools']
Baby Transport Accessories	Baby Toys & Activity Equipment	['Neon Signs', 'Breads & Buns', 'Tennis', 'Drill & Screwdriver Accessories', 'Wireless Transmitters', 'Deck & Fence Cleaners', 'Hammock Parts & Accessories', 'Baking Powder', 'Hiking Poles', 'Video Servers']
Baby Transport Accessories	Baby Transport	['Craft Paint, Ink & Glaze', 'Fireplace & Wood Stove Grates', 'Industrial Storage', 'Craft Scoring Tools', 'Fire Sprinklers', 'Knife Sharpeners', 'Video Game Console & Controller Batteries', 'Swimming', 'Medical Reflex Hammers & Tuning Forks', 'Batting & Stuffing']
Diapering	Baby Transport	['Scale Models', 'Avalanche Safety Airbags', 'Carpentry Jointers', 'Landscape Pathway Lighting', 'Taco Shells & Tostadas', 'Dummy Surveillance Cameras', 'Ricers', 'Underwear & Socks', 'Paddle Leashes', 'Envelopes']
Baby Transport Accessories	Diapering	['Garment Steamer Accessories', 'Bluetooth Transmitters', 'Dental Cement', 'Rum', 'Tennis Racquet String', 'Fishing Floats', 'Markers & Highlighters', 'Sinks', 'Model Trains & Train Sets', 'Prenatal Heart Rate Monitors']
Baby Transport Accessories	Nursing & Feeding	['Kitchen Towels', 'Acid Neutralizers', 'Address Books', 'Motor Vehicle Seating', 'Two-Way Radios', 'Powered Hammers', 'Electrical Mount Boxes & Brackets', 'Pizza Sauce', 'Pipe Caps & Plugs', 'Business Forms & Receipts']
Nursing & Feeding	Diapering	['Food Steaming Bags', 'Hair Color Removers', 'Dumpsters', 'Spray Tanning Tents', 'Musical Blocks', 'Erotic Books', 'Floor Scrubbers', 'Beach & Sand Toys', 'Lip Balms', 'Clarinet Pad Savers']
Diapering	Potty Training	['Bicycle Brake Rotors', 'Basketball Toys', 'Time & Attendance Clocks', 'Headwear', 'Chalkboards', 'Bicycle Fenders', 'Shuffleboard Tables', 'Berries', 'Gravy Boats', 'Gun Rails']
Nursing & Feeding	Potty Training	['Mattress Protectors', 'KVM Cables', 'Camera Focus Devices', 'Trunks', 'Color Mixing Tools', 'Pinback Buttons', 'Voice Recorders', 'Seafood', 'Baby & Toddler Gloves & Mittens', 'Siding']
Swaddling & Receiving Blankets	Nursing & Feeding	['Archery Targets', 'Vehicle Wheel Clamps', 'Fireplace & Wood Stove Accessories', 'Inflatable Bouncer Accessories', 'Cotton Candy Machine Accessories', 'Quinoa', 'Massagers', 'Electronics Component Connectors', 'Laundry Baskets', 'Emergency Road Flares']
Swaddling & Receiving Blankets	Potty Training	['Waste Container Wheels', 'Mobile Phone & Tablet Tripods & Monopods', 'Pie & Pastry Fillings', 'Rings', 'Canoe Accessories', 'Softball Uniforms', 'Ice Climbing Tools', 'Beet Greens', 'Jerky Guns', 'Drum Kit Mounting Hardware']
Advertising & Marketing	Agriculture	['Springs', 'Stadium Seats & Cushions', 'Accessibility Equipment Accessories', 'Motor Vehicle Wheel Systems', 'Sleepwear & Loungewear', 'Costume Hats', 'Bicycle Child Seats', 'Floral Tape', 'Motorcycle Helmet Parts & Accessories', 'Acoustic Guitar Pickups']
Automation Control Components	Advertising & Marketing	['Inner Tents', 'Bread Pans & Molds', 'Electronics Accessories', 'Surfboard Fins', 'Toy Tools', 'Spinning Tops', 'Ski & Snowboard Goggle Accessories', 'Eyewear Accessories', 'Flour Sifters', 'Paintball']
Signage	Advertising & Marketing	['Ice Skates', 'Heating, Ventilation & Air Conditioning', 'PDA Cases', 'Computer Covers & Skins', 'Report Covers', 'Wallpaper Steamers', 'Fishing Floats', 'Shaving Bowls & Mugs', 'Bicycle Shorts & Briefs', 'Scoreboards']
Work Safety Protective Gear	Advertising & Marketing	['Aquariums', 'Steam Press Accessories', 'Hard Cider', '3D Modeling Software', 'Mechanical Pencils', 'Can Organizers', 'Wok Rings', 'Aquatic Plants', 'Baby Safety', 'Unicycle Accessories']
Agriculture	Automation Control Components	['Bicycle Brake Sets', 'Riding Toy Accessories', 'Monoculars', 'Aquatic Plant Fertilizers', 'Craft Decoration Makers', 'Saxophone Care & Cleaning', 'Corsage & Boutonnière Pins', 'Anchor Windlasses', 'Starter Cultures', 'Caller IDs']
Construction	Agriculture	['Athletics', 'Combs & Brushes', 'Dusters', 'Hot Plates', 'Outdoor Furniture Covers', 'Lubricants', 'Trail Cameras', 'Roofing', 'Vacuum Sealers', 'Vehicle Boat Racks']
Agriculture	Work Safety Protective Gear	['Utility Pumps', 'Pet Pedometers', 'Vehicle Door Locks & Parts', 'Chopsticks', 'Gas Hoses', 'Televisions', 'Kickboards', 'Bicycle Headset Bearings', 'Sports Mouthguards', 'Hockey Sticks']
Automation Control Components	Construction	['Bird Toys', 'Bread Pans & Molds', 'Nativity Sets', 'Pet Bells & Charms', 'Basting Brushes', 'Dairy Products', 'Boxing Autographed Paraphernalia', 'Drug Tests', 'Contraceptive Cases', 'Paddle Leashes']
Dentistry	Automation Control Components	['Shooting Targets', 'Pool & Spa Circuit Boards', 'Talking Drums', 'Respiratory Care', 'Lawn Vacuums', 'Work Benches', 'Fishing Tackle', 'Brandy', 'Digital Note Taking Pens', 'Wire & Cable Hand Tools']
Construction	Dentistry	['FM Transmitters', 'Canned & Prepared Beans', 'Vehicle Door Locks & Parts', 'Electronic Musical Instruments', 'Ping Pong Tables', 'Staples', 'Billiard Pockets', 'Modems', 'Brass Knuckles', 'Masonry Consumables']
Film & Television	Construction	['Mobile Phone Jammers', 'Air Ducts', 'Cat Treats', 'Wicks', 'Hair Pins, Claws & Clips', 'Bicycle Saddle Pads & Seat Covers', 'Work Benches', 'Scale Model Accessories', 'Bicycle Spokes', 'Canopy & Gazebo Tops']
Film & Television	Dentistry	['Animals & Pet Supplies', 'Transducers', 'E-Book Reader Parts', 'Pinball Machines', 'Travel Bottles & Containers', 'Rings', 'Home & Interior Design Software', 'Motor Vehicle Tires', 'Scale Model Accessories', 'Disk Duplicators']
