Input,Prediction,Reference
Collectible Pennsylvania License Plates[SEP]Collectible Kansas License Plates,Collectible License Plates,Collectible License Plates
Insect & Hexapod Fossils[SEP]Trilobite Fossils[SEP]Crustacean Fossils,Insect & Crustacean Fossils,Arthropod Fossils
Men's Vintage Sweaters[SEP]Men's Vintage Sleepwear & Robes,Men's Vintage Clothing,Men's Vintage Clothing
Australian Victoria Stamps[SEP]Australian Stamp Booklets,Australian Stamps,Australian Stamps
Poly Bag Cutters & Sealers[SEP]Sealers & Sealing Machines[SEP]Carton Staplers,Packing & Shipping,Filling & Sealing Machines
Commercial Radios[SEP]Radio Communication Headsets & Earpieces[SEP]Radio Communication Coaxial Cables & Connectors,Radio Communication Electronics,Radio Communication Electronics
Other Test Meters & Detectors[SEP]PXI & VXI Systems[SEP]Test Equipment Leads & Probes,Test Meters & Detectors,"Test, Measurement & Inspection Equipment"
Wine Glass Charms[SEP]Corkscrews & Openers,Bar Tools & Accessories,Bar Tools & Accessories
Industrial Fastener Anchors[SEP]Industrial Blind & Drive Rivets,Industrial Fasteners & Hardware,Industrial Fasteners & Hardware
Diaper Disposal Supplies[SEP]Nursery Mats & Rugs[SEP]Crib Pillowcases & Shams,Baby Essentials,Baby Essentials
Collectible Texas Police Patches[SEP]Collectible Alaska Police Patches[SEP]Collectible New Jersey Police Patches,Collectible Police Patches,Collectible Police Patches
Time Delay Relays[SEP]Autotransformers,Electrical Equipment & Supplies,Electrical Equipment & Supplies
Collectible Zippo Music Lighters[SEP]Collectible Zippo Sport Lighters,Collectible Zippo Lighters,Collectible Zippo Lighters
Motorcycle & Scooter Spark Plugs[SEP]Electric Motorcycle & Scooter Conversion Kits[SEP]Motorcycle & Scooter Ignition Coils,Motorcycle & Scooter Electrical & Ignition Components,Motorcycle & Scooter Parts & Accessories
Other Winter Sports[SEP]Avalanche Transceivers,Winter Sports,Winter Sports
Commercial Truck Towing Hitches & Couplers[SEP]Commercial Truck Air Dryers[SEP]Commercial Truck Shocks & Struts,Commercial Truck Parts,Commercial Truck Parts
Crossbows[SEP]Recurve Bows[SEP]Archery Compound Bows,Archery Bows,Archery Bows
Wine Racks & Bottle Holders[SEP]Ice Buckets & Coolers[SEP]Coasters,Bar Tools & Accessories,Bar Tools & Accessories
Collectible Nevada License Plates[SEP]Collectible Texas License Plates[SEP]Collectible North Carolina License Plates,Collectible License Plates,Collectible License Plates
"Other Public Safety Equipment[SEP]Police, Security & Fire Turnout Gloves",Public Safety Staff Equipment,Public Safety Staff Equipment
Sports Fan Apparel & Souvenirs[SEP]Uncut Sports Trading Card Sheets[SEP]Other Hockey Autographed Items,"Sports Memorabilia, Fan Shop & Sports Cards","Sports Memorabilia, Fan Shop & Sports Cards"
Print Advertising (1990-Now)[SEP]Print Advertising (1920-1929),Collectible Print Advertising,Collectible Print Advertising
Other World's Fair Collectibles[SEP]1933-1934 Chicago World’s Fair Collectibles,World Fair Collectibles,World Fair Collectibles
Car Speaker & Subwoofer Rear Shelf Installation Products[SEP]Car Anti-Sleep Systems,Vehicle Electronics & GPS,"In-Car Technology, GPS & Security Devices"
Air Pressure Gauges[SEP]Hydraulic Pumps,"Hydraulics, Pneumatics, Pumps & Plumbing","Hydraulics, Pneumatics, Pumps & Plumbing"
Tobacciana Price Guides & Publications[SEP]Collectible Non-Branded Lighters[SEP]Collectible Cigar Cases & Holders,Tobacciana,Tobacciana
Manufactured Homes[SEP]Other Real Estate[SEP]Land Real Estate,Real Estate,Real Estate
Winter Sports Clothing[SEP]Cardio Equipment[SEP]Wetsuits & Drysuits,Sporting Goods,Sporting Goods
Ferrari Enzo,Ferrari Enzo,Ferrari Enzo
Strapping Machines[SEP]Pallet Truck Scales,Packing & Shipping,Packing & Shipping
Canadian Stamp Booklets[SEP]Used Canadian Stamps,Canadian Stamps,Canadian Stamps
Australian Flight Covers[SEP]New Zealand Stamps,Australian & Oceanian Stamps,Australian & Oceanian Stamps
Auto Performance Torque Converters[SEP]Auto Performance Flywheels,Auto Performance Parts,Auto Performance Driveline & Transmission
Other Game Used NFL Memorabilia,Other Game Used NFL Memorabilia,Other Game Used NFL Memorabilia
Wall Tool Racks[SEP]Tool Boxes,Tool Boxes & Storage,Tool Boxes & Storage
Collectible Wiccan & Pagan Tarot Cards & Bags[SEP]Collectible Buddhist Statues & Figures[SEP]Hindu Collectibles,Religion & Spirituality Collectibles,Religion & Spirituality Collectibles
Collectible Animation Art,Collectible Animation Art,Collectible Animation Art
Motorcycle & Scooter Hand Brake Levers[SEP]Motorcycle & Scooter Gaskets & Seals,Motorcycle & Scooter Parts & Accessories,Motorcycle & Scooter Parts & Accessories
Trade Show Tabletop & Portable Displays[SEP]Trade Show Counters & Tables,Trade Show Displays,Trade Show Displays
Chevrolet C-10[SEP]Chevrolet Sonic,Chevrolet Cars & Trucks,Chevrolet Cars & Trucks
Complete Outboard Lower Units[SEP]Outboard Conversion Kits,Outboard Engines & Components,Outboard Engines & Components
"Contemporary Disney Apparel & Accessories (1968-Now)[SEP]Disney Toys, Games & Puzzles (1968-Now)",Contemporary Disney Collectibles (1968-Now),Contemporary Disney Collectibles (1968-Now)
Ferrari 430[SEP]Ferrari California[SEP]Ferrari Testarossa,Ferrari Cars & Trucks,Ferrari Cars & Trucks
Madonna Memorabilia[SEP]Kate Bush Memorabilia,Rock & Pop Artist (B) Memorabilia,Rock & Pop Music Memorabilia
"Other Water Sport Fins, Footwear & Gloves[SEP]Water Shoes","Water Sport Fins, Footwear & Gloves","Water Sport Fins, Footwear & Gloves"
Women's Exercise Clothing[SEP]Youth Exercise Clothing,Exercise Clothing & Accessories,Exercise Clothing & Accessories
"Eagles Memorabilia[SEP]Emerson, Lake & Palmer Memorabilia[SEP]Eurythmics Memorabilia",Rock & Pop Music Memorabilia,Rock & Pop Artist (E) Memorabilia
Power Tool Lubricants[SEP]Diamond Saw Blades,Power Tool & Air Tool Accessories,Power Tool & Air Tool Accessories
Collectible Radio Manuals[SEP]Collectible Radio Parts & Tubes,Radio Collectibles,Collectible Radios
Pan Sets[SEP]Tagines,Cookware,Cookware
Baby Sunglasses[SEP]Baby & Toddler Swimwear[SEP]Baby & Toddler Dresses,"Baby Clothing, Shoes & Accessories","Baby Clothing, Shoes & Accessories"
Skid Steer Loaders[SEP]Heavy Equipment Engine Cooling Systems,"Heavy Equipment, Parts & Attachments","Heavy Equipment, Parts & Attachments"
Home Hot Surface Ignitors[SEP]Home Heating & Cooling: Controls & Circuit Boards,"Home HVAC, Parts & Accessories",Home Heating & Cooling: Parts & Accessories
Bicycle Build Kits & Gruppos[SEP]Bicycle Seatpost Clamps,Bike Components & Parts,Bike Components & Parts
US Native American Beads & Beadwork (1935-Now)[SEP]Other US Native American Collectibles (1800-1934),US Native American Collectibles,US Native American Collectibles
Night Lights[SEP]Chandeliers & Ceiling Fixtures,Lighting & Ceiling Fans,"Lamps, Lighting & Ceiling Fans"
US First Day Covers (1951-1960)[SEP]US First Day Covers (1961-1970),US Stamp Covers,US First Day Covers (1951-Now)
Automotive Pullers & Extractors[SEP]Automotive Air Grinders,Automotive Tools & Supplies,Automotive Tools & Supplies
Dildos & Vibrators[SEP]Adult Toy Cleaners,Adult Toys,Adult Sex Toys
Genealogy City & State Directories[SEP]Other Genealogy Maps,Genealogy Items,Genealogy Items
Alaskan Malamute Collectibles[SEP]Water Spaniel Collectibles,Dog Collectibles,Dog Collectibles
Car & Truck Mirror Components[SEP]Car & Truck Mirror Glass[SEP]Car & Truck Mirror Assemblies,Car & Truck Mirrors,Car & Truck Side View Mirrors
US Native American Sculptures (1800-1934)[SEP]US Native American Baskets (1800-1934)[SEP]US Native American Fetishes & Totems (1800-1934),US Native American Collectibles (1800-1934),US Native American Collectibles (1800-1934)
Kids' Pens & Markers[SEP]Kids' Paint Sets,Kids' Art & Craft Supplies,Kids' Drawing & Painting Supplies
Toys to Life Products[SEP]Video Game Cables & Adapters,Video Games & Consoles,Video Game Accessories
Industrial Surveillance & Alarm Equipment[SEP]Pest Control[SEP]Woodworking Equipment,Business & Industrial,Business & Industrial
Pruning Shears & Snips[SEP]Scythes & Sickles[SEP]Lawn Rollers,Garden Hand Tools & Equipment,Garden Hand Tools & Equipment
Snowmobile Lighting[SEP]Snowmobile Seats,Snowmobile Parts in Motors,Snowmobile Parts in Motors
eBay Auction Services[SEP]Graphic & Logo Design Services,Specialty Services,Specialty Services
NFL Autographed Jerseys[SEP]NBA Autographed Magazines[SEP]Autographed Soccer Balls,Original Sport Autographed Items,Original Sport Autographed Items
Bellows Pumps[SEP]Pump Heads[SEP]Screw Pumps,Pumps & Pump Accessories,Pumps & Pump Accessories
Commercial Pad Printing Equipment[SEP]PrePress Printing Equipment,Commercial Screen & Specialty Printing Equipment,Printing & Graphic Arts
Men's Exercise Pants[SEP]Men's Exercise Compression & Base Layers,Men's Exercise Clothing,Men's Exercise Clothing
Baseball & Softball Equipment Care & Accessories[SEP]Cheerleading Training Aids,Team Sports,Team Sports
Winter Sports Socks[SEP]Winter Sports Helmets[SEP]Winter Sports Hats & Headwear,Winter Sports Clothing,Winter Sports Clothing
Singing Bowls[SEP]Other Hand Percussion Instruments[SEP]Kalimbas,Hand Percussion Instruments,Hand Percussion Instruments
PCB Cleaners[SEP]Inspection Equipment[SEP]Semiconductor IC Bonding Equipment,Semiconductor & PCB Manufacturing Equipment,Semiconductor & PCB Manufacturing Equipment
Collectible Cartoon Character Pez Dispensers[SEP]Collectible Warner Brothers Pez Dispensers[SEP]Collectible Holiday & Seasonal Pez Dispensers,Collectible Current Pez Dispensers,Collectible Current Pez Dispensers
Collectible General Motors Brochures & Catalogs,Collectible General Motors Brochures & Catalogs,Collectible General Motors Brochures & Catalogs
Cars & Trucks[SEP]Porsche Cars & Trucks,Cars & Trucks,Cars & Trucks
Motorcycle & Scooter Radiator & Oil Cooler Guards[SEP]Motorcycle & Scooter Engine Thermostats & Housings[SEP]Motorcycle & Scooter Windshields,Motorcycle & Scooter Parts & Accessories,Motorcycle & Scooter Parts & Accessories
Industrial Power Supplies[SEP]Circuit Breakers & Disconnectors,Electrical Equipment & Supplies,Electrical Equipment & Supplies
Postal Stationery[SEP]Fijian Postal Stamps (Pre-1967),Stamps,Stamps
Industrial Rod End Bearings[SEP]Industrial Bushings & Plain Bearings,Industrial Bearings & Bushings,Industrial Bearings & Bushings
Craft Wiggle Eyes[SEP]Craft Eyelets,Crafting Pieces,Crafting Pieces
War Game Miniatures (15mm)[SEP]Star Wars Starship Battles War Games,Miniatures & War Games,Miniatures & War Games
Collectible Horse Decals & Stickers[SEP]Collectible Horse Jewelry & Pins,Collectible Horse Merchandise & Memorabilia,Collectible Horse Merchandise & Memorabilia
Print Advertising (1990-Now)[SEP]Print Advertising (1970-1979),Collectible Print Advertising,Collectible Print Advertising
"Alphabet & Language Toys[SEP]Sealed Collectible Card Game Boxes[SEP]Diecast & Toy Vehicle Accessories, Parts & Display",Toys & Hobbies,Toys & Hobbies
Collectible Open Salts[SEP]Collectible Tureens,Kitchen & Home Collectibles,Collectible Dinnerware & Serveware
Woodworking Hand Saw Blades[SEP]Woodworking Circular Saw Blades,Woodworking Blades,Woodworking  Blades
Hard Rock Café Apparel[SEP]Whitney Houston Memorabilia,Rock & Pop Artist (H) Memorabilia,Rock & Pop Artist (H) Memorabilia
Other Ozzy Osbourne Memorabilia[SEP]Outkast Memorabilia,Rock & Pop Artist (O) Memorabilia,Rock & Pop Artist (O) Memorabilia
Altered Drag Racing Parts[SEP]Performance & Racing Accessories,Performance & Racing Parts,Performance & Racing Parts
Test Equipment Panel Meters[SEP]NIM & CAMAC Systems[SEP]Total Stations & Accessories,"Test, Measurement & Inspection Equipment","Test, Measurement & Inspection Equipment"
"Snowmobile Skis & Runners[SEP]Wholesale Motors Apparel & Merchandise[SEP]ATV, Side-by-Side & UTV Steering & Suspension",Auto Parts & Accessories,Auto Parts & Accessories
Ral Partha War Games[SEP]Warhammer 40K Game Supplies & Merchandise[SEP]AT-43 War Games,Miniatures & War Games,Miniatures & War Games
Bulgaria Coins[SEP]Other African Coins,World Coins,World Coins
Movie Photos (1970-1979)[SEP]Color Movie Photos (Pre-1940),Movie Photos,Movie Photos
Collectible Sports Sticker Lots[SEP]Complete Collectible Sports Sticker Collections[SEP]Sealed Collectible Sports Sticker Cases,"Collectible Sports Stickers, Collections & Albums","Collectible Sports Stickers, Collections & Albums"
Jazz & Big Band Apparel[SEP]Rock & Pop Artist (T) Memorabilia[SEP]Rock & Pop Artist (L) Memorabilia,Music Memorabilia,Music Memorabilia
Rock & Pop Artist (B) Memorabilia[SEP]Audioslave Memorabilia[SEP]The Pussycat Dolls Memorabilia,Rock & Pop Music Memorabilia,Rock & Pop Music Memorabilia
Vacuum Tube Testers[SEP]EMF Meters & Gaussmeters,Test Meters & Detectors,"Test, Measurement & Inspection Equipment"
Finished Crewel Pieces[SEP]Finished Punch Needle Pieces[SEP]Other Finished Embroidered Pieces,Finished Embroidered Pieces,Finished Embroidered Pieces
Toilet Seats[SEP]Bathroom Drain Stoppers & Strainers[SEP]Steam Showers,"Bathroom Fixtures, Accessories & Supplies","Bathroom Fixtures, Accessories & Supplies"
Industrial Stepper Motors[SEP]Industrial Pump Motors,Industrial Electric Motors,Industrial Electric Motors
"Cat Dishes, Feeders & Fountains[SEP]Aquarium Air Stones",Pet Supplies,Pet Supplies
Car & Truck Additional Blower & Fan Parts[SEP]Car & Truck Cabin Air Filters,Car & Truck Air Conditioning & Heating,Car & Truck Air Conditioning & Heating
Contemporary Manufacture Diecast Boats & Ships[SEP]Diecast Rally Cars,Diecast & Toy Vehicles,Diecast & Toy Vehicles
Heavy Equipment Seals & O-Rings[SEP]Power Take Off Parts,Heavy Equipment Parts & Accessories,Heavy Equipment Parts & Accessories
Fencing Clips & Brackets[SEP]Garden Trellises[SEP]Hardware Cloth & Mesh Fencing,"Garden & Patio Fencing, Privacy Screens & Gates","Garden & Patio Fencing, Privacy Screens & Gates"
Star Trek Collectible Magazines[SEP]Other Star Trek Collectibles[SEP]Star Trek Clothing & Accessories,Star Trek Collectibles,Star Trek Collectibles
Cheong-sam[SEP]Asian & Pacific Island Jackets,Asian & Pacific Island Clothing,Asian & Pacific Island Cultural & Ethnic Clothing
1876 Philadelphia World’s Fair Collectibles[SEP]1933-1934 Chicago World’s Fair Collectibles,World Fair Collectibles,World Fair Collectibles
Leather Conditioners & Treatments[SEP]Leather Treatment Sets & Kits[SEP]Leather Paints & Finishes,Leather Care & Repair Supplies,Leather Treatments & Paints
Oldsmobile Auto Advertising[SEP]Packard Auto Advertising[SEP]Chevrolet Auto Advertising,Collectible American Auto Advertising,Collectible American Auto Advertising
"Latch Hooking Kit, Tools & Supplies[SEP]Spinning Tools & Supplies[SEP]Weaving Looms","Yarn, Sewing & Needlecraft Supplies","Yarn, Sewing & Needlecraft Supplies"
Guitar Wah & Volume Pedals[SEP]Guitar Tuning Pegs,Guitar Parts & Accessories,Guitar Parts & Accessories
Ethiopian Paper Money[SEP]Japanese Paper Money,World Paper Money,World Paper Money
Silver Crown Asphalt Oval Racing Parts[SEP]Ford Focus Midgets Oval Racing Parts,Oval Racing Parts,Asphalt Oval Racing Parts
"Industrial Pipes[SEP]Other Pipe, Hose & Tubing","Pipe, Hose & Tubing","Pipe, Hose & Tubing"
Ty Current Classic Beanbag Plushies[SEP]Ty Retired Classic Beanbag Plushies,Ty Classic Beanbag Plushies,Ty Classic Beanbag Plushies
"Internal Hard Disk Drives[SEP]External Hard Disk Drives[SEP]Other Hard Drives (HDD, SSD & NAS)","Hard Drives (HDD, SSD & NAS)","Hard Drives (HDD, SSD & NAS)"
TV Memorabilia Mugs & Coasters[SEP]TV Memorabilia Jackets,Merchandise & Promotional TV Memorabilia Items,Merchandise & Promotional TV Memorabilia Items
Special Purpose Eyeglasses for Vision Care[SEP]Scar & Stretch Mark Reducers[SEP]Contact Lens Solution,Health & Beauty,Health & Beauty
Inflatable Pools[SEP]Water Toys[SEP]Water Squirting Toys,Water Toys & Structures,Sand & Water Toys
Sewing Embellishments & Finishes[SEP]Other Craft Quilting,Sewing Tools & Supplies,Sewing Tools & Supplies
Pontiac G6[SEP]Chevrolet Beretta[SEP]Other De Tomaso Cars & Trucks,Cars & Trucks,Cars & Trucks
"Commercial Coffee, Cocoa & Tea Supplies[SEP]Commercial Hot Water Boilers & Dispensers",Commercial Bar & Beverage Equipment,"Commercial Coffee, Cocoa & Tea Equipment"
Baby Wipe Warmers[SEP]Other Baby Feeding Supplies,Baby Feeding Supplies,Baby Essentials
Collectible Snuff Boxes[SEP]Collectible Photographic Images,Collectibles,Collectibles
Industrial Hydraulic & Pneumatic Clutches[SEP]Industrial Flexible Couplings,Industrial Mechanical Power Transmission,Industrial Mechanical Power Transmission
Cat Costumes[SEP]Cat Furniture & Scratchers,Cat Supplies,Cat Supplies
Electric Car & Truck Cooling Components[SEP]Electric Car & Truck Charging Components,"Electric, Hybrid & PHEV Car & Truck Specific Parts","Electric, Hybrid & PHEV Car & Truck Specific Parts"
Block Printing Supplies[SEP]Other Art Supplies[SEP]Artists' Pens & Markers,Art Supplies,Art Supplies
Other TV Tools[SEP]Wire & Cable Crimpers[SEP]Wire & Cable Strippers,TV Tools,TV Tools
Dholaks[SEP]Tablas,Percussion Instruments,Folk & World Drums
US Native American Beads & Beadwork (1600-1799)[SEP]US Native American Collectibles (Pre-1600),US Native American Collectibles,US Native American Collectibles
"Commercial Colanders & Strainers[SEP]Commercial Pie Servers[SEP]Commercial Quiche, Tart & Pie Pans",Commercial Cookware & Kitchen Tools,Commercial Cookware & Kitchen Tools
Commercial Letter Presses & Die Cutters[SEP]Other Bindery & Finishing Equipment,Printing & Graphic Arts,Printing & Graphic Arts
Pepsi Bottles & Cans[SEP]Coca-Cola Figurines[SEP]Coca-Cola Print Advertising,Collectible Soda Advertising,Collectible Soda Advertising
Lab Incubators[SEP]Electronic Apex Locators,"Medical & Lab Equipment, Devices","Medical & Lab Equipment, Devices"
Ceramics & Pottery Books & Magazines[SEP]Ceramic Decals,Ceramics & Pottery Craft Supplies,Ceramics & Pottery Craft Supplies
Building Toys & Blocks[SEP]Toy Parachutes[SEP]FAO Schwarz Stuffed Animals,Toys & Hobbies,Toys & Hobbies
Diecast Vehicle Play Sets[SEP]Contemporary Manufacture Diecast Vehicle Banks,Diecast & Toy Vehicles,Diecast & Toy Vehicles
Guanzis[SEP]Hulusis[SEP]Kazoos,Folk & World Wind Instruments,Folk & World Wind Instruments
Dressers & Chests of Drawers[SEP]Bar Stools & Stools[SEP]Tables,Home Furniture,Home Furniture
Soda Labels[SEP]Coca-Cola Bags,Collectible Soda Advertising,Collectible Soda Advertising
Collectible Sewing Button Mixed Lots[SEP]Collectible Mixed Material Sewing Thimbles,Sewing Collectibles (1930-Now),Sewing Collectibles (1930-Now)
Auto Performance Chips & Programmers[SEP]Car & Truck Lower Kits & Parts,Auto Performance Parts,Auto Performance Parts
Denmark & Faroe Islands Stamps[SEP]Greece Stamps[SEP]Poland Stamps,European Stamps,European Stamps
Ghana Coins[SEP]Kenya Coins[SEP]Tunisia Coins,African Coins,African Coins
Nail Airbrush Systems & Kits[SEP]Nail Airbrush Parts,Nail Airbrushes,Nail Airbrushes
Ferrari Mondial[SEP]Ferrari F12 Berlinetta[SEP]Other Ferrari Cars & Trucks,Ferrari Cars & Trucks,Ferrari Cars & Trucks
Industrial Portable Air Conditioners[SEP]HVAC Refrigeration Tubing Tools[SEP]Industrial Ducted Humidifiers & Dehumidifiers,HVAC & Refrigeration,HVAC & Refrigeration
Disney Stuffed Animals[SEP]Russ Yomiko Stuffed Animals[SEP]First & Main Stuffed Animals,Stuffed Animals,Stuffed Animals
